SL,Date,Chainage,UTM_X,UTM_Y,BTM_X,BTM_Y,Distance,RL_mPWD,Remarks
13526,05/03/2018,11280,300127.93,2704995.46,604513.771,703662.838,59.523247,-0.6,CL
13592,05/03/2018,11330,300169.83,2705015.97,604555.29,703684.735,60.28015428,-0.39,CL
13656,05/03/2018,11380,300216.49,2705039.47,604600.765,703708.718,60.791126,-0.47,CL
13718,05/03/2018,11430,300263.28,2705061.93,604647.238,703732.722,56.1428829,-0.24,CL
13780,05/03/2018,11480,300310.21,2705078.39,604693.863,703749.731,60.28280186,-0.78,CL
13844,05/03/2018,11530,300354.27,2705093.84,604737.49,703766.675,43.50285623,-0.79,CL
13903,05/03/2018,11580,300403.8,2705108.91,604787.135,703782.749,47.5033483,-0.61,CL
13958,05/03/2018,11630,300452.45,2705121.11,604834.846,703795.781,37.37811268,-0.96,CL
14025,05/03/2018,11680,300500.4,2705138.57,604882.428,703814.811,47.91914962,-1.53,CL
14078,05/03/2018,11730,300545.09,2705161.11,604926.924,703837.772,72.61294006,-1.99,CL
14144,05/03/2018,11780,300574.94,2705201.13,604956.039,703878.398,71.2233143,-1.17,CL
14210,05/03/2018,11830,300596.33,2705244.86,604976.074,703922.827,60.47766943,-1.12,CL
14262,05/03/2018,11880,300614.46,2705287.79,604993.131,703966.191,59.66720791,-1.8,CL
14316,05/03/2018,11930,300625.66,2705338.41,605004.041,704016.421,51.69046044,-1.41,CL
14387,05/03/2018,11980,300642.12,2705384.12,605019.034,704062.74,79.91968969,-0.45,CL
14463,05/03/2018,12030,300674.44,2705424.81,605050.127,704104.409,89.96177233,-0.49,CL
14521,05/03/2018,12080,300701.61,2705468.67,605077.157,704148.99,74.95127574,-0.14,CL
14588,06/03/2018,12130,300731.84,2705508.05,605106.294,704188.616,66.63822109,-0.35,CL
14655,06/03/2018,12180,300759.25,2705547.12,605132.433,704228.178,97.57806536,-0.36,CL
14732,06/03/2018,12230,300785.92,2705593.29,605158.42,704274.736,84.5812573,-0.34,CL
14800,06/03/2018,12280,300818.5446,2705630.137,605190.598,704312.429,64.07979014,-0.38,CL
14857,06/03/2018,12330,300847.08,2705669.97,605217.715,704353.011,53.13036891,-0.38,CL
14924,06/03/2018,12380,300869.75,2705709.68,605239.835,704393.486,52.46892998,-0.11,CL
14983,06/03/2018,12430,300908.11,2705750.24,605276.945,704434.286,41.48338584,-0.46,CL
15040,06/03/2018,12480,300936.21,2705788.29,605304.105,704472.87,45.76754527,-0.42,CL
15104,06/03/2018,12530,300962.09,2705830.93,605329.158,704516.407,46.53442812,-0.27,CL
15165,06/03/2018,12580,300989.32,2705873.14,605355.231,704558.967,59.52039146,-0.03,CL
15233,06/03/2018,12630,301016.92,2705913.95,605382.326,704600.55,48.29812522,0.11,CL
15291,06/03/2018,12680,301043.28,2705956.94,605407.379,704644.088,62.01850127,0.28,CL
15354,06/03/2018,12730,301070.02,2705998.07,605433.474,704685.648,55.47030018,0.26,CL
15412,06/03/2018,12780,301096.69,2706043.73,605459.461,704732.206,81.95235811,0.17,CL
15468,06/03/2018,12830,301117.41,2706082.31,605478.626,704770.617,65.382534,0.23,CL
15531,06/03/2018,12880,301140.58,2706128.03,605501.615,704817.11,70.60423004,0.23,CL
15579,06/03/2018,12930,301164.82,2706172.27,605524.647,704861.604,76.54897321,0.16,CL
15641,06/03/2018,12980,301189.0183,2706216.436,605547.679,704906.098,90.9737745,0.04,CL
15697,06/03/2018,13030,301213.03,2706259.98,605570.711,704950.592,76.07076019,0.24,CL
15751,06/03/2018,13080,301234.28,2706305.03,605590.723,704996.02,83.3924415,0.25,CL
15798,06/03/2018,13130,301256.42,2706348.07,605611.778,705039.471,78.75240504,0.14,CL
15847,06/03/2018,13180,301280.1419,2706396.456,605634.724,705087.963,81.99425225,0.11,CL
15899,06/03/2018,13230,301302.34,2706438.63,605655.779,705131.414,95.42315711,0.08,CL
15953,06/03/2018,13280,301324.5504,2706484.502,605677.768,705177.886,84.96073695,-0.1,CL
16011,06/03/2018,13330,301348.9,2706530.06,605700.778,705223.379,82.85079119,-0.28,CL
16063,06/03/2018,13380,301369.22,2706574.74,605719.791,705268.786,90.49174548,-0.34,CL
16122,06/03/2018,13430,301386.76,2706623.83,605736.718,705318.147,96.93865339,0.11,CL
16159,06/03/2018,13480,301412,2706659.51,605760.923,705354.668,64.04428234,-0.43,CL
16200,06/03/2018,13530,301436.5342,2706711.317,605784.803,705406.179,61.39234955,-0.37,CL
16247,06/03/2018,13580,301460.87,2706751.18,605807.921,705446.676,57.65925164,-0.05,CL
16299,06/03/2018,13630,301489.2027,2706794.868,605834.951,705491.257,60.24595996,-0.6,CL
16329,06/03/2018,13680,301519.145,2706834.074,605864.088,705530.884,57.62992692,0,CL
16378,06/03/2018,13730,301549,2706874.75,605893.181,705572.51,60.41160898,-0.75,CL
16427,06/03/2018,13780,301572.5545,2706918.188,605916.235,705616.005,58.50793611,-2.59,CL
16471,06/03/2018,13830,301601.8003,2706962.689,605944.242,705661.607,60.15086778,-3.34,CL
16520,06/03/2018,13880,301643.5836,2706988.45,605985.675,705687.503,49.55698277,-2.4,CL
16576,06/03/2018,13930,301693.3,2707006.28,606034.256,705706.554,49.42621508,-2.1,CL
16631,06/03/2018,13980,301744.69,2707009.02,606086.161,705710.68,65.26624753,-0.45,CL
16698,06/03/2018,14030,301791.75,2706993.19,606133.48,705695.708,60.36819196,-0.23,CL
16765,06/03/2018,14080,301837.3053,2706972.934,606178.887,705676.696,66.26948311,0.26,CL
16831,06/03/2018,14130,301883.56,2706954.48,606226.271,705658.726,51.4669568,-0.16,CL
16893,06/03/2018,14180,301931.31,2706931.88,606273.72,705637.758,45.95771665,-0.29,CL
16942,06/03/2018,14230,301972.2409,2706908.268,606315.216,705614.661,49.60987893,-0.29,CL
17005,06/03/2018,14280,302015.84,2706882.95,606359.732,705590.629,45.28649563,-0.63,CL
17060,06/03/2018,14330,302059.8,2706858.28,606404.248,705566.598,59.52210336,-0.44,CL
17116,06/03/2018,14380,302106.9005,2706834.681,606451.719,705544.63,62.70591452,-1.13,CL
17166,06/03/2018,14430,302150.24,2706821.94,606494.976,705532.57,,-0.05,CL
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
